,teacher_id,meditation_id,med_list_batch_id,med_list_scrape_date,med_list_scrape_status,med_detail_batch_id,med_detail_scrape_date,med_detail_scrape_status,meditation_title,length
6088,aaliyahmadadi,/guided-meditations/c1p2e8k1a2d6k3e3t4k4t3r7x8k5m1r9v7t4a9x2,3,2022-12-13 12:01:11.736495,meditation found,1015,2022-12-14 14:25:57.211410,title found,Grounding With The Earth,
6089,aaliyahmadadi,/guided-meditations/f8g0q0a3r2u8h7q5t2m0w9s4v4d3v6w5r5b1r2u0,3,2022-12-13 12:01:11.738110,meditation found,1015,2022-12-14 14:26:00.061964,title found,White Light Protection Meditation For Inner Light & Peace,00:00
6090,aaliyahmadadi,/guided-meditations/d8e8d4v1l6u6a8w8j7e2f0r6s5f6b7t8j9d6t3j5,3,2022-12-13 12:01:11.739031,meditation found,1015,2022-12-14 14:26:06.338423,title found,Calming The Monkey Mind | Increased Focus & Concentration,00:00
6091,aaliyahmadadi,/guided-meditations/t4b5f8m2r3q5v8j6b1s7c2p0v0m2d1t9j6s2k9e6,3,2022-12-13 12:01:11.739031,meditation found,1015,2022-12-14 14:26:10.511629,title found,Live In Confidence Guided Meditation,00:00
6092,ambikachant,/guided-meditations/u5m7m5p6v0g3a4n3w1c8m3n0m8x1t4t3x9x9t5c1,3,2022-12-13 12:01:48.311504,meditation found,1015,2022-12-14 14:26:29.958460,title found,Metta Chant,00:00
6093,andreavaliante,/guided-meditations/k2n5p2a8n6m1g7p7z9n1k4x9x4k6f6g0v8g4e6e2,3,2022-12-13 12:02:10.470578,meditation found,1015,2022-12-14 14:26:49.730458,title found,Loving Kindness,
