,teacher_id,meditation_id,med_list_batch_id,med_list_scrape_date,med_list_scrape_status
0,auteur,/guided-meditations/c6m4a7q2a6b7p4d6n3q3q6r8t8g0e6b8u0u2w6n7,38,2022-12-13 21:57:50.709110,meditation found
1,auteur,/guided-meditations/q4k8q8t1x0y7q0y9y1n4r9z2u0e2q9j4u6j1g1q2,38,2022-12-13 21:57:50.711110,meditation found
2,auteur,/guided-meditations/r1d5m7f6h6u1r9j0s0m7m4s1k7r4k5s4r6x6b1y0,38,2022-12-13 21:57:50.712103,meditation found
3,auteur,/guided-meditations/v1a5f9m2m5y7y6d3c9r5f1k2n6j7r9m9z8b9t0t7,38,2022-12-13 21:57:50.714110,meditation found
4,dorindedeboer,/guided-meditations/w2v2x0n4a7a1g0x7k8u6c0b2l1a7a6z8d1t5z2v9,38,2022-12-13 21:57:56.562416,meditation found
5,dorindedeboer,/guided-meditations/z2y7m3m5m5n4y1d5f0x7a4v7a9m2l8n8y3y4f3j8,38,2022-12-13 21:57:56.563392,meditation found
6,falconrydata,/guided-meditations/u9q6u8c4x2t9d5g6j5k5g6y5f4t5j6y3w7f3t4a3,38,2022-12-13 21:58:18.622379,meditation found
7,davidhughes,/guided-meditations/l6w2r8x6x5a4n3j6k1u8q6g0w7k3r3u6r6z4c0m5,38,2022-12-13 21:58:41.201421,meditation found
8,davidhughes,/guided-meditations/z7h2p9l6e9a6e7k9f2y1p4d2e1p9r6y1b4j8u8y5,38,2022-12-13 21:58:41.204427,meditation found
9,davidhughes,/guided-meditations/p9n3m0a7q9a0j9x3b8h0d5x2j4v3k9e9m6f5d8b4,38,2022-12-13 21:58:41.206418,meditation found
10,davidhughes,/guided-meditations/f7h5v5g8s5e0k2b2u1y6p3j9u2x8j4e2k7g5l2l2,38,2022-12-13 21:58:41.207418,meditation found
11,davidhughes,/guided-meditations/u6y4j3k0t8x1x4z2k7h4d3m0b3q9n1n9d2j8l8m7,38,2022-12-13 21:58:41.208421,meditation found
12,davidhughes,/guided-meditations/e5f4p2q7g0v1l7q7x0q3t8w4x7f2v6d2q3u5u4r8,38,2022-12-13 21:58:41.210420,meditation found
13,davidhughes,/guided-meditations/d0n3y3g9h0r9s9t5j9j4w1f9k4k6d8s9r3j7u8h4,38,2022-12-13 21:58:41.211418,meditation found
14,davidhughes,/guided-meditations/n7a9d1j4a0h5l4p7s0d1r3t9g8q1f0f1z7b5n5d8,38,2022-12-13 21:58:41.212417,meditation found
15,davidhughes,/guided-meditations/w9c6w3n2l0k5w6b8f1w5a9c8t1u0c9s3a8j0u5d7,38,2022-12-13 21:58:41.213420,meditation found
16,davidhughes,/guided-meditations/k0f9j5g4f3b6r6p4h3f4k8a1s2a1p8b2u3b9a8s7,38,2022-12-13 21:58:41.214419,meditation found
17,davidhughes,/guided-meditations/c9n2t4m7j5n8n3w5h7r4m9j3v0x4s0f3r5u3l4u4,38,2022-12-13 21:58:41.214419,meditation found
18,pubannablessing,/guided-meditations/e7e8w0a4z0r2d5v4v3d6q6j0v5z9k1w9g6c8p7r3,38,2022-12-13 21:58:47.261545,meditation found
19,danielesalamina,/guided-meditations/r0x1t1p0t0d8t4z0n0w5b5w1j5e7e0f2k5t8f1z1,38,2022-12-13 21:59:09.192023,meditation found
20,wildearthmamma,/guided-meditations/m2d5z7y8b1a7k2h6v0v6x4k6k2f4u7s9f0m0h4c0,38,2022-12-13 21:59:57.543510,meditation found
