,teacher_id,meditation_id,med_list_batch_id,med_list_scrape_date,med_list_scrape_status
0,fayebradburysacredshamanicsounds,/guided-meditations/y0k1s1e3l2p0j2g6s9v3p7p9s5u9y2b4c5t3w1b5,51,2022-12-13 17:36:47.539805,meditation found
1,fayebradburysacredshamanicsounds,/guided-meditations/t4a7s3y5x2p2a2b1d1f5r5t4q4u8h8g3x3s1q7a4,51,2022-12-13 17:36:47.539805,meditation found
2,fern,/guided-meditations/j3r0l9m2m3d4a8h2r8n2s9p8l0j6n9y4r8h5b0r8,51,2022-12-13 17:37:14.466373,meditation found
3,fern,/guided-meditations/k1z9h8q9a3l8f2n0x9p5h4w2k5j4a4v3g0q9c3r6,51,2022-12-13 17:37:14.466373,meditation found
4,florsilvestre,/guided-meditations/m9b5e4a1j3j0j6k6f9k2y7u2g0y1k4m5e7v6y3b9,51,2022-12-13 17:38:00.649559,meditation found
5,fokkoketel,/guided-meditations/l9b2m1j5e5h0b7t4y7g3z7q5j3r5w2h4z5n8l7k2,51,2022-12-13 17:38:11.200068,meditation found
6,flutewave,/guided-meditations/e5w2k0g9w2p5h4u0r7n8e5p3u9y6h6x1e1k2u3u5,51,2022-12-13 17:38:22.285262,meditation found
7,flutewave,/guided-meditations/l5z8c8e8g6n2n5u5x4r2p3v3j1e8c0t5c8s4p3m8,51,2022-12-13 17:38:22.289258,meditation found
8,flutewave,/guided-meditations/a0k4p3n8t5j3u9u5q5k0l4c6t7a2d8g6j1d8a6e3,51,2022-12-13 17:38:22.292260,meditation found
9,flutewave,/guided-meditations/e4c9h6j9g7u9a0p2j8d5g6z6j0k1a9g2c8k1c6c7,51,2022-12-13 17:38:22.294255,meditation found
10,flutewave,/guided-meditations/p8n0f7p2a3j5r9y4m6m7q4z8v8v3u3x7r6w5p0w7,51,2022-12-13 17:38:22.297255,meditation found
11,floatedradio,/guided-meditations/s0z4m2b7w1a9a4n8w8u8j9p1b5p4a5t8u1t6r4d3,51,2022-12-13 17:38:49.074946,meditation found
12,healingsoundz,/guided-meditations/j3g3d8z3g9n2v7e6u0c1e8j9l0w6s0n3q8m2h5x4,51,2022-12-13 17:39:00.762691,meditation found
13,breatheconnectthrive,/guided-meditations/l6y6z0e1p5t4m7v2y3a0j7u0a8b6z9y0p0b9n7h4,51,2022-12-13 17:39:13.555432,meditation found
14,breatheconnectthrive,/guided-meditations/f6m2c8c2v0v9t5u4w7v8v9l7j3z9m9w4j2q6q9q3,51,2022-12-13 17:39:13.571055,meditation found
15,breatheconnectthrive,/guided-meditations/y2d8q1y3d7c4m9w8r1k5x7u3s7p6k8y8l7m5r8x3,51,2022-12-13 17:39:13.571055,meditation found
16,breatheconnectthrive,/guided-meditations/t2e2k3p4j4t1w1v2e5b6p7b6e4y1t1s4g9p3y5a3,51,2022-12-13 17:39:13.571055,meditation found
17,breatheconnectthrive,/guided-meditations/y5k5q6l6x0d1k0s4d4e9z0w4j0m2m1p5h6k5v3h0,51,2022-12-13 17:39:13.571055,meditation found
18,freeyourselfthrough,/guided-meditations/x5b4d6c0t8w1t3c0r0f4t8r4x9t5u0e6f6r1t2m6,51,2022-12-13 17:39:40.549037,meditation found
19,freeyourselfthrough,/guided-meditations/q3f7a7n3v4r9j8w9b3y7e2r7x8l5m9f0b7r5q5s9,51,2022-12-13 17:39:40.549037,meditation found
20,freeyourselfthrough,/guided-meditations/k5y0m8y4y0v4d7s3t4s4r2r6e1t7m6d7s2d9p2k9,51,2022-12-13 17:39:40.549037,meditation found
21,freeyourselfthrough,/guided-meditations/k3b7a0j8h3g4d6p8l5w7n2n1x3y1x4x8u2t8g8n8,51,2022-12-13 17:39:40.564663,meditation found
22,freeyourselfthrough,/guided-meditations/t3u8t3f9p1k8m8u1n8a2h2x8p2w8w8w1g1e5a9e6,51,2022-12-13 17:39:40.564663,meditation found
23,freeyourselfthrough,/guided-meditations/y0e2p2h3a4a3j9h8q6f1p0f4f5y6l2m5h8b5y8f5,51,2022-12-13 17:39:40.564663,meditation found
24,farina_yoga,/guided-meditations/f3z6v6p0s2y3e0w3x1b7w0y4g4c2v2n0e5r3d0s4,51,2022-12-13 17:40:08.178071,meditation found
