,teacher_id,meditation_id,med_list_batch_id,med_list_scrape_date,med_list_scrape_status
0,leilainthelight,/guided-meditations/t7p9k3q4f2t9m6l2d2a7e5a5h0f2n4g7a8w8l5h2,92,2022-12-14 18:23:05.171589,meditation found
1,leilainthelight,/guided-meditations/w2y5a4a2v8h0z1x4j1g7x9h5r3y5u2e5v3t3q1n8,92,2022-12-14 18:23:05.171589,meditation found
2,leilainthelight,/guided-meditations/g5m8a9k2w1s0g0k6v1y0w5m4r4c8n8w3l8k1p7t4,92,2022-12-14 18:23:05.171589,meditation found
3,leilainthelight,/guided-meditations/p5y4j1e3c4v3u7k5t3m2r5d4w1r3c5g1h6g6z5p8,92,2022-12-14 18:23:05.171589,meditation found
4,leilainthelight,/guided-meditations/c6d4m8q8y4c4s4n0m1p4n4n8j3n0w0k0h8l1x2n2,92,2022-12-14 18:23:05.171589,meditation found
5,loriwald,/guided-meditations/d3l2p3j2l8e1e1u2k8x7x6q0e9m3v0h1h6e8w1w0,92,2022-12-14 18:23:27.516218,meditation found
6,loriwald,/guided-meditations/f3t7y9z1d6u3a4f3x2z6s6w4w1d7q1b4z7g5c6q3,92,2022-12-14 18:23:27.516218,meditation found
7,loriwald,/guided-meditations/v0a0y5e6f2h9n9p4y4r8j3s9t4m6f8c0n2m7s6x1,92,2022-12-14 18:23:27.516218,meditation found
8,loriwald,/guided-meditations/q1z2u7b6r6n0b4r0y5h9a4v1s2d6x1u9c0q6d8d5,92,2022-12-14 18:23:27.516218,meditation found
9,loriwald,/guided-meditations/t7h0j2u7e5f8h5p8m4c8f4j1p8h9z9h4e0b9k4g1,92,2022-12-14 18:23:27.516218,meditation found
10,loriwald,/guided-meditations/m4v9x7p7k7c0q9p4p3t7q7j2v2t5c7c9b8r6d7t3,92,2022-12-14 18:23:27.516218,meditation found
11,loriwald,/guided-meditations/g3b1d4n4j9k3k0a3r5g1q0k4a2y0h1p5a2j1p5p7,92,2022-12-14 18:23:27.516218,meditation found
12,loriwald,/guided-meditations/t2t2a6x7v9h6q4z6k6w8p0t8f5c7n9z5y9h6h3m0,92,2022-12-14 18:23:27.516218,meditation found
13,loriwald,/guided-meditations/g2p2k1p5h0g7t7d1d5p6d0b6s6n8g0g6j9m9m7g5,92,2022-12-14 18:23:27.516218,meditation found
14,loriwald,/guided-meditations/g2g8e4z7y4v4c3z6b4m3f2t2y5v6v9a2q7g9h5k1,92,2022-12-14 18:23:27.516218,meditation found
15,loriwald,/guided-meditations/h3e9h3v2b8q7m8n3c1g8b7a8a8u9j6u5q1j6j7t0,92,2022-12-14 18:23:27.516218,meditation found
16,loriwald,/guided-meditations/n6k7r1a3b9n7d9z1q0c8z5z9j9b8w1x8t0v5e1x5,92,2022-12-14 18:23:27.516218,meditation found
17,loriwald,/guided-meditations/y5j1a8v5k1u0u9j3u6a5k1j0r5c1k6z5w7a5y1x2,92,2022-12-14 18:23:27.531836,meditation found
18,luisamoraes,/guided-meditations/k2v6f1r0z3k9k1v4y8m6m7e2u3l2k1c7q7c3b3j2,92,2022-12-14 18:23:49.414645,meditation found
