,teacher_id,meditation_id,med_list_batch_id,med_list_scrape_date,med_list_scrape_status
0,lamaoleg,,161,2022-12-14 22:29:10.593414,meditations not found
1,larisaparfentieva,/guided-meditations/w9v5q0v0s5p0r2q5n1c9m8g4j7j6j1m0c6j1c3q5,161,2022-12-14 22:29:39.603104,meditation found
2,larisaparfentieva,/guided-meditations/z7d6u8b4y9h9a6v3p7w0k1l6s8z4z8f6z5n1r7j4,161,2022-12-14 22:29:39.603104,meditation found
3,levsoloviev,/guided-meditations/v4u2n7x6j0p0g3j9e9v0w3a1w4e4b4p1t1t0k2c0,161,2022-12-14 22:29:51.862414,meditation found
4,levsoloviev,/guided-meditations/j9w6t7r7u7e8k1q2e2h4z7m8w0f5p6u8u5c7s1d5,161,2022-12-14 22:29:51.865413,meditation found
5,levsoloviev,/guided-meditations/m6j3u6w9t3n5p1b8r6l2w5t2h5p9u7p5d5k6r0e8,161,2022-12-14 22:29:51.867412,meditation found
6,levsoloviev,/guided-meditations/t2n3h0z2s8r4g9c6q4p1c5g4f3j8j9s3b1p9p6n2,161,2022-12-14 22:29:51.869411,meditation found
7,levsoloviev,/guided-meditations/y5e0w7v5b8m9t3y2p2u5c1b3k8f0w1h8z8d4a5v3,161,2022-12-14 22:29:51.872409,meditation found
8,golosprobuzhdeniya,/guided-meditations/a8u1u8u8f2d8e5h7t4a7b1r7t7e1u3z8n8l1w7r6,161,2022-12-14 22:30:20.907143,meditation found
9,golosprobuzhdeniya,/guided-meditations/w9b7z4u5q5g9g0d8s7k9j8w6e1n0z1y6u4u4a8r3,161,2022-12-14 22:30:20.907143,meditation found
10,golosprobuzhdeniya,/guided-meditations/k0k7c9h5j8n7s8s3n3z7s7h9b0y7k8x8w9z2a9w0,161,2022-12-14 22:30:20.907143,meditation found
11,golosprobuzhdeniya,/guided-meditations/v3k0k1w5x4g4b4y1h5q3d8s8z5t1s5d8e1t2d7j0,161,2022-12-14 22:30:20.922766,meditation found
12,golosprobuzhdeniya,/guided-meditations/j9m7j4a1t0u7g2k9w5w0u6h8p3n1j7y3t9r2j9m5,161,2022-12-14 22:30:20.922766,meditation found
13,liliana_kalen,/guided-meditations/z2u8e4f2u6s3s9p9c4t1a3w1y5l6q5y8j5r5k7c5,161,2022-12-14 22:30:48.445747,meditation found
14,liliana_kalen,/guided-meditations/w3a0f8n0e0q1b7k2j9c6x4m2v9y2v7s2n6l2c7p7,161,2022-12-14 22:30:48.445747,meditation found
15,liliana_kalen,/guided-meditations/p7d7j3w1z1g9w7h0m9r5t2g3w7d0w4k2n1j5v9r4,161,2022-12-14 22:30:48.461371,meditation found
16,liliana_kalen,/guided-meditations/a3n1r8a8d7e0q7z2q0x4a6s0m6t4p5m7q4r3q7v6,161,2022-12-14 22:30:48.461371,meditation found
17,liliana_kalen,/guided-meditations/m4f1d5c3s3w5a1z0s6h2y2b1v2z0w1q7d3q8a9v0,161,2022-12-14 22:30:48.461371,meditation found
18,liliana_kalen,/guided-meditations/p3y5y8a9c8d6q2e9n1t5k7w7n4w3m8q9f8v3g6l2,161,2022-12-14 22:30:48.461371,meditation found
