,teacher_id,meditation_id,med_list_batch_id,med_list_scrape_date,med_list_scrape_status
0,rosanna.gill,/guided-meditations/d6w9y5k2p2g8t0b8r2m5k2r3w7r8z1p2j4d4m7n7,130,2022-12-14 16:07:26.239707,meditation found
1,rubyknafo,/guided-meditations/y1v9h4q8w3j3e9z3f7m4v3j6v2m5s7z1e6b5e7j5,130,2022-12-14 16:07:36.225904,meditation found
2,rubyknafo,/guided-meditations/c0c4a6n9h9n1v1z5z4w8j4s3s5s0k0t0q8r7c8k0,130,2022-12-14 16:07:36.225904,meditation found
3,rubyknafo,/guided-meditations/s9p8n0n4p6s7k1h8e8a4s4j0e6h8y4x0d6h6k6w6,130,2022-12-14 16:07:36.225904,meditation found
4,rubyknafo,/guided-meditations/h1v3h9d6b4t1x6p1j3x0q4b2u1e4n6t6c1n3e4n5,130,2022-12-14 16:07:36.225904,meditation found
5,rejyscowan,,130,2022-12-14 16:07:55.042681,meditations not found
6,roelsmelt,,130,2022-12-14 16:07:57.907006,meditations not found
7,maveric,/guided-meditations/c0k0g9z7m8t7f1y5h5m1c2k4l7u3p2p0u5q4d8s4,130,2022-12-14 16:08:23.904427,meditation found
8,astroland,,130,2022-12-14 16:08:42.833950,meditations not found
9,onlyalchemy,,130,2022-12-14 16:08:45.535225,meditations not found
10,rebeccarylands,/guided-meditations/v2u5r2x6n1u7c1k6b4j8d7w6z3u0e6t3e1e2v2k4,130,2022-12-14 16:09:07.439147,meditation found
11,romuloclasen,/guided-meditations/j7a9z7c5m6w1b7l5q6d2f6x4w1b0a2u2x4g3u3h6,130,2022-12-14 16:09:35.287036,meditation found
12,rowanchamberlain,/guided-meditations/g1a0c0e7v0z7j2l8d9f9w9z3r2c0k6v9c7g6z0l4,130,2022-12-14 16:09:42.425499,meditation found
13,reginamaria,/guided-meditations/q5y9c7p0w4w3y1p7d3z1g7e7a1b3j0y5l3k9d2w1,130,2022-12-14 16:09:48.590581,meditation found
14,reinholdritter,/guided-meditations/e0m6w0v9e7g4k1m4u7e7p2x6u7h6n0b4r7h5s9a4,130,2022-12-14 16:10:15.377261,meditation found
