,teacher_id,meditation_id,med_list_batch_id,med_list_scrape_date,med_list_scrape_status
0,poursh,/guided-meditations/b2d3c9j7z0d2e7e6v9y8b8y4t2v0m7x0q5e2t7a4,109,2022-12-14 04:58:45.273905,meditation found
1,magavillarreal,/guided-meditations/s2v3x5p1b0j0v4t5f4v5q2k7k3f0z3y2b7t6t5w6,109,2022-12-14 04:59:07.105388,meditation found
2,monicaknip00001,,109,2022-12-14 04:59:26.098277,meditations not found
3,coachmatt_2020,/guided-meditations/h0v5t8p8w3m7g6n3p6q8c9q6r1v8u4g1s3k3f2f5,109,2022-12-14 05:00:14.321486,meditation found
4,coachmatt_2020,/guided-meditations/y9z5r0y3z8q7k5m5p7g7e2k9t6n9q1z0s2l6g2m1,109,2022-12-14 05:00:14.322478,meditation found
5,myralewin,/guided-meditations/g3v0n3a4d9z8z9c3r5q3y2j3h3v5h7x2n0z5a9e5,109,2022-12-14 05:00:36.060321,meditation found
6,machaistrain,/guided-meditations/a8n8j3c6w0z3s8v6n4u1m5r6d0x2n0a5k8b7j0e7,109,2022-12-14 05:00:57.810087,meditation found
7,melbyendo,/guided-meditations/d2n1c3g9c5l2c1w7y6h3n6n1d3a6q6k2q2c1n7r2,109,2022-12-14 05:01:23.827427,meditation found
8,melbyendo,/guided-meditations/c6h9x9s9w2p0r3y4z8x8j5j2e3z8u5q0j1l9h0e5,109,2022-12-14 05:01:23.827427,meditation found
9,melbyendo,/guided-meditations/f7e0s8t6c4v4s0z5n1s3b3q2n7k8b6v4b4q1q7c3,109,2022-12-14 05:01:23.827427,meditation found
10,melbyendo,/guided-meditations/g3n2k1k8n5t4c7q6a0n1b9v3e7b6j3u7q6k9r6h5,109,2022-12-14 05:01:23.827427,meditation found
11,melbyendo,/guided-meditations/u9a9x2r4k3a3c9w5t6l0e5z4m3f0q3g7l1b2s6y1,109,2022-12-14 05:01:23.827427,meditation found
12,melbyendo,/guided-meditations/w3x3r2m4r1e4g3w6l9h7j6b7j4k3q4u5t3q4p9w2,109,2022-12-14 05:01:23.827427,meditation found
13,melbyendo,/guided-meditations/e1s9c4x2l8y8c4v1e4p5c8m6q6a7j2c0m2d8u3f5,109,2022-12-14 05:01:23.827427,meditation found
14,maxhanuman,/guided-meditations/y0e6s6x0w5c1e3u5r7e1b0q1s8w4e8c6p3r0u8s5,109,2022-12-14 05:01:45.705519,meditation found
15,maxhanuman,/guided-meditations/s6t5a5k0b3g9n9l5y6e8y5k2d3f9a6c5v1l4x3r2,109,2022-12-14 05:01:45.705519,meditation found
16,marianamaciel,/guided-meditations/t7z9s8s7e5u1e0j9t9p4e1n7u9d2q3a2d3a6c1n4,109,2022-12-14 05:02:09.649094,meditation found
17,marianamaciel,/guided-meditations/k5d4n1m6d3y0r9q5j5d0j1l3z4d9a4y0p5z8z8u4,109,2022-12-14 05:02:09.649094,meditation found
