,teacher_id,meditation_id,med_list_batch_id,med_list_scrape_date,med_list_scrape_status
0,leeyen,/guided-meditations/j9b9b2c3m2m2a7l8d1s2x0c2t2s7q6z9c8p0m5m1,90,2022-12-14 17:18:25.152470,meditation found
1,kahulahela,/guided-meditations/t4k0r7j4w4p7c8l2w3l0f6p2b5t2a1d3t2e8k1b3,90,2022-12-14 17:18:47.275505,meditation found
2,kahulahela,/guided-meditations/e4u2f1d2v4m2x0r6h6d1s1g1k5l6k5g6e2b3q2p8,90,2022-12-14 17:18:47.275505,meditation found
3,lelabecker,/guided-meditations/p7n6h1y0e9s2v9r2b5q8k9n9v6s8k8e1b5y1v0x9,90,2022-12-14 17:19:11.290861,meditation found
4,lelabecker,/guided-meditations/z3e0s5c1x4p7k9e4d2n5m3m4y8z7y3p1g8b3p0p3,90,2022-12-14 17:19:11.290861,meditation found
5,lelabecker,/guided-meditations/p1p2v5n9r2c8f9s3n3x3s6n6c1v7d6w4w6y2f2h7,90,2022-12-14 17:19:11.290861,meditation found
6,lelabecker,/guided-meditations/g4p5w8p9j2r3a1a5k0m5c2e8g1y1v5h9f2c1s3x3,90,2022-12-14 17:19:11.290861,meditation found
7,lelabecker,/guided-meditations/t1b9b8e3n3e6g7k5n3p4z2w6f3v5c0w6t4e0h5f5,90,2022-12-14 17:19:11.290861,meditation found
8,lucydreams,,90,2022-12-14 17:19:30.126477,meditations not found
9,pub2947467,/guided-meditations/d0p8x6k3s6y9h6g3g3t2c6y7p5m1p2n3a5y9t6r5,90,2022-12-14 17:19:38.127633,meditation found
10,pub2947467,/guided-meditations/c5j0b9h2f1x4q9f9y2g2m9z1x0t0d2v4w1t3t0h6,90,2022-12-14 17:19:38.128634,meditation found
11,pub2947467,/guided-meditations/s5h4r5k7g8t1m1s8p7n1a3y6v0g6z9f4e7e8s2x0,90,2022-12-14 17:19:38.129634,meditation found
12,pub2947467,/guided-meditations/d1r7y7y9a8e3t0f6e9m8x8v6f5f7g2f4b0l1s5b1,90,2022-12-14 17:19:38.129634,meditation found
13,pub2947467,/guided-meditations/d4h4z9b5y8x0p3x5p0p5h3x7q3g5f4s5x5h3t1e1,90,2022-12-14 17:19:38.130635,meditation found
14,ligiacosta,/guided-meditations/l5y8t9j1v3j6s1s0u1s4m7z4k6e7c9f9q8n9p6r7,90,2022-12-14 17:20:00.102650,meditation found
15,ligiacosta,/guided-meditations/v0j9e0v9z5m9m5r4g0r0a2v2v5c6g0v7f8x2g8l4,90,2022-12-14 17:20:00.103647,meditation found
16,ligiacosta,/guided-meditations/w5c6c1c2s0m1f8l5b2w6t3h5s2q4t7j8g8y8u8h5,90,2022-12-14 17:20:00.104645,meditation found
17,ligiacosta,/guided-meditations/s3h0r6k0w5z5u7q4r1n9b5q7a2g9s8q6y2d7a6c7,90,2022-12-14 17:20:00.105877,meditation found
18,ligiacosta,/guided-meditations/d3g0l5r4f5p5t6c6g1n3r9r4k4b6x6r1s0v7y7d3,90,2022-12-14 17:20:00.106886,meditation found
19,ligiacosta,/guided-meditations/b2f4p0x5m7a8a6n9d8l4k6z6j5d5e9a5p7b7j5a8,90,2022-12-14 17:20:00.107897,meditation found
20,ligiacosta,/guided-meditations/d6k8f0r4t1p1p1f4d9j2d2t3f0g6m4a1j5g3f8k9,90,2022-12-14 17:20:00.108894,meditation found
21,ligiacosta,/guided-meditations/v3m1h6z6t2k7p1e7n4k1r4w7f0d0p1u6x1x1u3p0,90,2022-12-14 17:20:00.108894,meditation found
22,ligiacosta,/guided-meditations/c4m3z9s4q1y0f2n0h4u8n9s9d8y1l2h3f1g6e0c6,90,2022-12-14 17:20:00.109894,meditation found
23,lissu1961,/guided-meditations/h6a4e2f1t3k9p4m6j8n0c6k9f4m8f4a9j1w1h9a3,90,2022-12-14 17:20:44.256956,meditation found
24,lissu1961,/guided-meditations/e8j5z1b9a1f9m4a6w7n6u1q1w5y4l9a7b9n6s2u5,90,2022-12-14 17:20:44.257948,meditation found
25,lesliehubbard,/guided-meditations/y7z3s1n7h8d1y1m0f3v7n4a6j2m0r1d1p2q0x2f8,90,2022-12-14 17:21:06.421874,meditation found
26,lizaburney,/guided-meditations/q5m4d2a8k6s1u9c6y9b6f0y8w7l9d1w6k3t4s4r6,90,2022-12-14 17:21:12.804400,meditation found
27,lizaburney,/guided-meditations/j3q2r7b2h3c8l2k0r4h5j3u5u6m0c1a2z8w8r2t4,90,2022-12-14 17:21:12.804400,meditation found
28,lizaburney,/guided-meditations/t4b2c6z4q4b6f0m7z6v2m8n5w4g9c3c5p1y5r7h2,90,2022-12-14 17:21:12.804400,meditation found
29,lizaburney,/guided-meditations/j7v0g3v7w0t7h9y2j1n0g9s1y2d3h6r2b3k9m7b8,90,2022-12-14 17:21:12.804400,meditation found
