,teacher_id,meditation_id,med_list_batch_id,med_list_scrape_date,med_list_scrape_status
0,yoke,,159,2022-12-14 21:12:41.719284,meditations not found
1,yinkokotti,/guided-meditations/b3p0l3g9k2m5u8t7g2l9n9y4d3m4a9f6s8m9h1t1,159,2022-12-14 21:13:10.796913,meditation found
2,yogistubejessi,/guided-meditations/e6a9c8c2t0m2m6s2m4p2j4k4d1r9f9n9f8x1w0w1,159,2022-12-14 21:13:23.624207,meditation found
3,yogistubejessi,/guided-meditations/a0q8s0x4w7v1y4g5j4h8y4m2w7e6s0h9c3u0h5w7,159,2022-12-14 21:13:23.624207,meditation found
4,yogistubejessi,/guided-meditations/b6w3c2e6x0e3k6c7j7v8w4b0f0s7x6j7u2t6s2k2,159,2022-12-14 21:13:23.624207,meditation found
5,yogistubejessi,/guided-meditations/j2y6p9q7e6u7h3r7p8j9v7z7z2e5j9v1d7z4t5u2,159,2022-12-14 21:13:23.624207,meditation found
6,yogistubejessi,/guided-meditations/p6j7f5f1k0x7n7j7q4z5q9k0h0l4j2p6q3a7e7x5,159,2022-12-14 21:13:23.624207,meditation found
7,yogistubejessi,/guided-meditations/q2a1j8g6a7t7c8s6j9b9j1f8g1l3r8h6y8u4w7x3,159,2022-12-14 21:13:23.624207,meditation found
8,yogistubejessi,/guided-meditations/a6p7r8n1z9r5b9s5k6c9m6k1s2u6k3f7f2m4w8h1,159,2022-12-14 21:13:23.624207,meditation found
9,tejomayayoga,/guided-meditations/u1p1d6q1m8m2x1b5y5c2s2q7g4j4z3f3c7c1n1j4,159,2022-12-14 21:13:34.250114,meditation found
10,yollana,/guided-meditations/r3b3s8h5g2j4m5a2r8a6f4a1q4t0m8v4f7x4a6p8,159,2022-12-14 21:13:44.222623,meditation found
11,nowmazingyoga,/guided-meditations/k1t7d9m3d2d9x4d5g3a8d6z1p2t7q6t9s6d4k4p0,159,2022-12-14 21:14:13.457925,meditation found
12,nowmazingyoga,/guided-meditations/w8y6m5x6d0w0g1j0e0h0l8d2p9l4q8y8m0n6v3v7,159,2022-12-14 21:14:13.457925,meditation found
13,food4mood.werne,/guided-meditations/p9j9d3c9j7a0f3b2m5c2d5k5g4t4d0z0t1k0u5x7,159,2022-12-14 21:14:42.930000,meditation found
14,food4mood.werne,/guided-meditations/w7u6y6t3b5p3m4v1t7g3a0d4q7n1b8e1s1w2g3e3,159,2022-12-14 21:14:42.930000,meditation found
15,kate-sun,,159,2022-12-14 21:15:06.831129,meditations not found
16,pub20845386,,159,2022-12-14 21:15:30.630374,meditations not found
17,yogitayogagaliano,/guided-meditations/h8k0p9r2f9x0c1w7w5y1c7q0h1f6n5m4h5u4r1r1,159,2022-12-14 21:15:44.820842,meditation found
18,yogitayogagaliano,/guided-meditations/e5k0y2u8b9x8s5w5j2p3h4p6w4x4b4t1k8r4b1p7,159,2022-12-14 21:15:44.820842,meditation found
19,yogitayogagaliano,/guided-meditations/y2a5n4y2x7y0v6h2e4m9w7h6v8c1k4t1r9u2u4q6,159,2022-12-14 21:15:44.820842,meditation found
20,yogannabliss,/guided-meditations/p5f3f1k0s0z6l4d4v2h5c2a1w7d1s8c1s2c7a4p1,159,2022-12-14 21:16:13.223159,meditation found
21,yogannabliss,/guided-meditations/l9a5p0t0d2y8g3p4q6u1v9x3x4v3p5a8w3f8q0v9,159,2022-12-14 21:16:13.223159,meditation found
22,yogannabliss,/guided-meditations/l6p3b8y3h6t3t6r0j3y8v7z2c5f8r2q3x6n6p8m4,159,2022-12-14 21:16:13.223159,meditation found
23,yogannabliss,/guided-meditations/b3p2q5t7b9g5x9s7u7z9l0g9k0g0h1y4z3x2r2x4,159,2022-12-14 21:16:13.238790,meditation found
24,yogannabliss,/guided-meditations/f0r7c3k8k1b7d8z9z3v6t3g2z9y2y3r3y9v5p8v9,159,2022-12-14 21:16:13.238790,meditation found
25,ys66,/guided-meditations/w2t5y0k0n1b4u8c8e4p1t6d0e3h2b6a4u2f4b1n8,159,2022-12-14 21:16:39.878084,meditation found
26,zoekanat,/guided-meditations/w6p0c1x7f0f5m8c9y0a2x8w7d5u3s3e2f2b0v9s0,159,2022-12-14 21:16:50.806414,meditation found
27,zoekanat,/guided-meditations/a4y1j5y1x7z4d5k5g8j3b8m1q5k9z0b4w2r9f5h1,159,2022-12-14 21:16:50.806414,meditation found
28,zoekanat,/guided-meditations/b6k3r7z2q0d1c3n2v3q6w7h8h4r5z2b7v0n6p3f3,159,2022-12-14 21:16:50.806414,meditation found
29,zoekanat,/guided-meditations/j4u0n5s4h8w3v2y9g2u0w2p6l4j2r3p8b1l0b5g3,159,2022-12-14 21:16:50.806414,meditation found
30,zoekanat,/guided-meditations/r1z5l5k3h9e1n6n0n9g5v3k4n2w2a9n1a0q2x9h4,159,2022-12-14 21:16:50.806414,meditation found
31,zoekanat,/guided-meditations/w5r9b6k6k3y5e9l3y5j3w1p9l1s7w4f8v5x5t5d4,159,2022-12-14 21:16:50.806414,meditation found
32,zoekanat,/guided-meditations/r5k7e1a8g5c1x3b3g1j0k6v3u6z9t0m4p1r5h1b6,159,2022-12-14 21:16:50.822055,meditation found
33,zoekanat,/guided-meditations/b5e7c1g6r7k7x9p6l7g2j3b3p0a8g2k8p4a5p1n3,159,2022-12-14 21:16:50.822055,meditation found
34,zoekanat,/guided-meditations/b6j2y9q7e3g5b2j4v3d0e2w6z0v3x4t5j5k3n5h9,159,2022-12-14 21:16:50.822055,meditation found
35,zoekanat,/guided-meditations/y3l0g9z6p4r1a3v2y2c7m3f0t7w9c7j0x9x6v2j5,159,2022-12-14 21:16:50.822055,meditation found
36,zoekanat,/guided-meditations/u0d0e4n6f0c9q6p6d4w5p4b0x0n2q2s4a5b4h6x7,159,2022-12-14 21:16:50.822055,meditation found
37,zoekanat,/guided-meditations/m3m1m8b5h8f6t3m0d8x5b7q4n9r0n2b1v7d9w8m0,159,2022-12-14 21:16:50.822055,meditation found
38,zoekanat,/guided-meditations/n9n2r7w7c5j7m6z6p6f2q2j7e0c4w6b4s0r7w0v4,159,2022-12-14 21:16:50.822055,meditation found
39,zoekanat,/guided-meditations/b2n1m4g3w0s5j7k6z6f2a9d4f8v4y0k1s0q5j1a3,159,2022-12-14 21:16:50.837683,meditation found
40,zoekanat,/guided-meditations/z6x7h8u9z2j6x8t2x8e5d0e0r3d6y7u6p0f5g9z9,159,2022-12-14 21:16:50.837683,meditation found
