,teacher_id,meditation_id,med_list_batch_id,med_list_scrape_date,med_list_scrape_status
0,meyora,/guided-meditations/g6h7s5k5s6x3y8w3d1z9m6j5t6b8s2x8q8z9p7x2,11,2022-12-13 16:03:26.860552,meditation found
1,meyora,/guided-meditations/u7y8k6g3f3t3k3f3h7q2f2x1n6p6a6n7q8e7k6s1,11,2022-12-13 16:03:26.861554,meditation found
2,meyora,/guided-meditations/b9f7z5h2z4s6p1v2l5x6w9m0a4d0n0q5x1k4q0d3,11,2022-12-13 16:03:26.862555,meditation found
3,meyora,/guided-meditations/d6c8t9z0v3n8r8z9h6s0w3u1d7t8k1h8a0m8a8y5,11,2022-12-13 16:03:26.863554,meditation found
4,meyora,/guided-meditations/v2r5b5c2e5e4k2y8x8s2n4v6x5t3w2a4w6k0r1n7,11,2022-12-13 16:03:26.864554,meditation found
5,meyora,/guided-meditations/y9l0p3g8u5u3k0b1u4k9c6w4z0e7f1w9e5n3u9a2,11,2022-12-13 16:03:26.866554,meditation found
6,amysatterfield,/guided-meditations/g6a2y1m8v1t3a9u0y6l0s1z2f5x4m6z3l3b0v7d0,11,2022-12-13 16:03:49.270461,meditation found
7,amysatterfield,/guided-meditations/a5d0l9n1h7p8a0v4g2e5k4e8j1d7a4x4b5m2y7f0,11,2022-12-13 16:03:49.271466,meditation found
8,amysatterfield,/guided-meditations/e2a3m1t0x6m5s1x8a8z6c5v6j2j2l9y2p1d5b4e7,11,2022-12-13 16:03:49.272466,meditation found
9,pacedbreathing,/guided-meditations/w5d7h6t9u7t5c6b5p3g5v6u6f9r1g3e5y5w9e2k8,11,2022-12-13 16:04:11.575683,meditation found
10,pacedbreathing,/guided-meditations/y8j0w4p0f8d3h8e1f1t7q1u3p7q6u2x8f4f7u1z4,11,2022-12-13 16:04:11.576665,meditation found
11,upgretable,/guided-meditations/n2r8j6n2z1a8n3w1v0f9h7d6y6d7n3d7u2a2d0v3,11,2022-12-13 16:04:33.552472,meditation found
12,upgretable,/guided-meditations/x6r8r5y7m5p9m8h6u3w5c5j4p0f2k7g2p1t8p3x0,11,2022-12-13 16:04:33.553472,meditation found
13,argos,/guided-meditations/q9w7r5y1g1f6a2y1f3t8k5w1z3k2k7c3t7u9r7p7,11,2022-12-13 16:04:57.662011,meditation found
