,teacher_id,meditation_id,med_list_batch_id,med_list_scrape_date,med_list_scrape_status
0,good_enough_mom,/guided-meditations/b0c2q8r0t4x0z2d8n5e1y2m1h8t1u0p2e8c8x7v2,118,2022-12-14 10:39:56.094542,meditation found
1,meditatemate,/guided-meditations/m8q7f6n1a1m4l3y7h0p8k2r3y5b4r2c1g8z0a3p0,118,2022-12-14 10:40:22.307166,meditation found
2,meditatemate,/guided-meditations/j7e2u9b0b3e0a2h9h5y4j2k8q6v6n7j2b8b4e6n2,118,2022-12-14 10:40:22.309163,meditation found
3,meditatemate,/guided-meditations/k7j8u6z6d5q1s2v0k4s9u3w1z2h2g6x2e7f2s8w4,118,2022-12-14 10:40:22.309163,meditation found
4,meditatemate,/guided-meditations/l3q1n9f9h2z4b6v2t2a6x2e4n4h2e6z7t8j4j2a1,118,2022-12-14 10:40:22.310163,meditation found
5,meditatemate,/guided-meditations/h2a8f2v8t7e2j9j5l5h4v0f8w9p7s1z5f1v4n5x0,118,2022-12-14 10:40:22.310163,meditation found
6,meditatemate,/guided-meditations/k7x8l6y3n4d4w5u3l9x3b6g3a3e6v7j7a6v5x7q3,118,2022-12-14 10:40:22.311163,meditation found
7,meditatemate,/guided-meditations/p4w6n2v7k0v8x3w5p0b5p2h3x1d5q7j7p7z5j1x5,118,2022-12-14 10:40:22.311163,meditation found
8,meditatemate,/guided-meditations/q2f7v2f0x5n6w9t7z9t5x8e6d9g2h1e3q9z5x8b5,118,2022-12-14 10:40:22.312733,meditation found
9,tomchenko,/guided-meditations/u2b0w3f3w6c5m4s2f9n2w9t5p6a8h9w0b0z7p3b0,118,2022-12-14 10:40:44.100401,meditation found
10,tomchenko,/guided-meditations/f0s1e0y1v2h7j6x6d9h4n0z4m5x6j9x6f7w3n1u9,118,2022-12-14 10:40:44.101398,meditation found
11,tomchenko,/guided-meditations/p7t6p3a5g4d7n2n5s2j6w2u4a1t3r7x4x5h8w1g7,118,2022-12-14 10:40:44.102398,meditation found
12,yogi,/guided-meditations/q0c4s5n9p6e5x7p6t9b6s5x5x2e3r7y5q4z3c5c9,118,2022-12-14 10:41:11.204130,meditation found
13,yogi,/guided-meditations/a9y2d6d5p4r2a5k3k8a6a7u8h5h9u4s6s2k6v0a3,118,2022-12-14 10:41:11.205123,meditation found
14,yogi,/guided-meditations/x2d8x1j7z1b0m0e6e6b6a8e2f2z5e5s1f3d8d3j1,118,2022-12-14 10:41:11.206123,meditation found
15,yogi,/guided-meditations/g5g4r4y1t1u6t1z2m0l1p7g8b4b4f3e1g4x1d1l1,118,2022-12-14 10:41:11.207064,meditation found
16,onenessiseverything,,118,2022-12-14 10:41:30.160581,meditations not found
17,oxyoga.co,/guided-meditations/y9w7n9w5a1e1t9e2l9f4c1d1f6m1h7j2z7h2y9p0,118,2022-12-14 10:41:56.842606,meditation found
18,oxyoga.co,/guided-meditations/q0w9g6n7k7g5w0j3u0b5v1c3j0b2m2q0n3m2t4j4,118,2022-12-14 10:41:56.844674,meditation found
