,teacher_id,alpha_index,batch_id
241,abbyroad,a,3
242,alexagoncalves,a,3
243,almir,a,3
244,andyotto,a,3
245,alejandrom,a,3
246,aphinya,a,3
247,enlightenwithalex,a,3
248,andreahalaby,a,3
249,analeescottprater,a,3
250,speakitintoexistence,a,3
251,ashleyhuntmeditation,a,3
252,anukampa,a,3
253,anthonybr,a,3
254,andrebritto,a,3
255,angiegallis,a,3
256,aprilsingsalot,a,3
257,adrianaspataru,a,3
258,andreabassanini,a,3
259,aleksandrvolodin,a,3
260,adelestewart,a,3
261,africayogaproject,a,3
262,angelicacaceres,a,3
263,anishamahajan,a,3
264,anthonynuod,a,3
265,atmosphare,a,3
266,aubklein,a,3
267,sylvani,a,3
268,andkeh,a,3
269,alicialove,a,3
270,anthonyprofeta,a,3
271,thehausofhealth,a,3
272,annaeb,a,3
273,empowheryou,a,3
274,annashelley,a,3
275,alexandra_mclash,a,3
276,avinoamlerner,a,3
277,amymingin,a,3
278,arinaribeiro,a,3
279,naturallyashlie,a,3
280,aswathaman,a,3
281,ancientmemory,a,3
282,annabellebini,a,3
283,amaratmakaur,a,3
284,alexssi,a,3
285,alexis_bethel,a,3
286,amandamossing,a,3
287,amandahayes,a,3
288,ashleychymiy,a,3
289,anishanirvani,a,3
290,abbywynne,a,3
291,andresph,a,3
292,activepause,a,3
293,art,a,3
294,alspacas,a,3
295,annabellezinser,a,3
296,achtsamkeitmitanna,a,3
297,acorn.content,a,3
298,anesumbizvo,a,3
299,amymoroz,a,3
300,mindfulnessmeetingplace,a,4
301,annevetter,a,4
302,andrewdaniel,a,4
303,andrianacrawford,a,4
304,adrienneione,a,4
305,amandadicristina,a,4
306,breathecalmuk,a,4
307,annasofia,a,4
308,andreaashley,a,4
309,amitaschmidt,a,4
310,aldigo,a,4
311,alexandraarbogast,a,4
312,annahataliving,a,4
313,angelique_meditation,a,4
314,frommindtoheart,a,4
315,alanaearthangel,a,4
316,alleycatreiki,a,4
317,amykerr,a,4
318,lovelightschool,a,4
319,pub195086,a,4
320,authenticparenting,a,4
321,alextripod,a,4
322,alicianidra,a,4
323,allybogard,a,4
324,anneadametz,a,4
325,andreakrejciparadis,a,4
326,aliciacramer,a,4
327,anniewood,a,4
328,aleksandar,a,4
329,anne1166,a,4
330,nourishedteachers,a,4
331,andunlop,a,4
332,adricardoso,a,4
333,aimeecoenen,a,4
334,annette,a,4
335,ourevolvingminds,a,4
336,littleshopmeditations,a,4
337,aleia,a,4
338,alyana,a,4
339,adyanova,a,4
340,anastasiavishnevsky,a,4
341,siren_dragon,a,4
342,rootedrenewalwellness,a,4
343,ayedahusain,a,4
344,amandalee,a,4
345,adammizner,a,4
346,annika,a,4
347,alyssanobriga,a,4
348,safe_circle_meditation,a,4
349,anikapatel,a,4
350,bodyblisslife,a,4
351,annaguestjelley,a,4
352,annahughes,a,4
353,alejandraespinosap,a,4
354,yogalexia,a,4
355,awalk,a,4
356,pub14893267,a,4
357,anasofibavoni,a,4
358,addie_dehilster,a,4
359,ayeshasamji,a,4
360,annika.cronauer,a,4
361,drea,a,4
362,anjastieber,a,4
363,ashwalter,a,4
364,anders,a,4
365,anjaweise,a,4
366,aesha108,a,4
367,assaff,a,4
368,angelagruenewald,a,4
369,eclecticcleric,a,4
370,happyoolamama,a,4
371,andreasahslund,a,4
372,anuja,a,4
373,annette.dubreuil,a,4
374,annette.activator,a,4
375,alexisshahin,a,4
376,amandavanset,a,4
377,azrielferro,a,4
378,andybrine,a,4
379,feelosophy,a,4
380,alanbutterworth,a,4
381,annamiranda,a,4
382,amyj,a,4
383,aleminni,a,4
384,annagutkina,a,4
385,alannasaraswati,a,4
386,bitewellnessconsulting,a,4
387,auroramoone,a,4
388,treibgutyoga,a,4
389,psic_angie,a,4
390,antonbelo,a,4
391,ateeka,a,4
392,aliciayoungyoga,a,4
393,amysinclair97,a,4
394,awarenessexplorers,a,4
395,akivayaakov,a,4
396,abigailwilber,a,4
397,ameeta,a,4
398,auroradeblas,a,4
399,alexbeckmann,a,4
400,astridvanwesenbeeck,a,5
401,avivajoffe,a,5
402,andrea88,a,5
403,tranquilitywizard,a,5
404,alisonwegner,a,5
405,anaoteromagdala,a,5
406,analebasi,a,5
407,alessandralasas,a,5
408,anna,a,5
409,anitaboes,a,5
410,annvanroy,a,5
411,drsounds,a,5
412,annasimonetta,a,5
413,sylvanocity,a,5
414,yogaranger,a,5
415,aamaro,a,5
416,andreambrosio,a,5
417,anastasia_bellone,a,5
418,aannshajones,a,5
419,audrabear,a,5
420,bluepurpose,a,5
421,amelialina,a,5
422,alexandraraeyoga,a,5
423,aliciaparamo,a,5
424,dhammagift,a,5
425,ashleymiluswellnesscoach,a,5
426,meditation_alex,a,5
427,amandahouston,a,5
428,altalourette,a,5
429,ana.marquessilva,a,5
430,anniemhenderson,a,5
431,amberjane______,a,5
432,arose,a,5
433,anantkarkaur,a,5
434,allisonrietta,a,5
435,alankaishincrawford,a,5
436,alamkhan,a,5
437,ashgro,a,5
438,asterhaile,a,5
439,amandaschultz,a,5
440,astralcommunionok,a,5
441,loveandlight,a,5
442,andreacarrani,a,5
443,anastasia_m,a,5
444,alexandraalmond,a,5
445,lovedreamlive,a,5
446,shineon,a,5
447,allisonterrell,a,5
448,pausewithalexis,a,5
449,angelamiele,a,5
450,parenthesepositive,a,5
451,alextreglazoffdober,a,5
452,drabbeyleighayd,a,5
453,alicemendonca,a,5
454,shivshakti,a,5
455,amyrutledge443,a,5
456,adrianasanchez,a,5
457,agapijoy,a,5
458,alelmt,a,5
459,chouettemeditation,a,5
460,antoniocuenca,a,5
461,anahitaholdenphd,a,5
462,compazzi_annemarie,a,5
463,awolfe,a,5
464,alicelapeta333,a,5
465,musicasmedicine,a,5
466,aliciameek,a,5
467,renascencemusic,a,5
468,mbsr-aw,a,5
469,aiko108,a,5
470,benditodharma,a,5
471,annelyse,a,5
472,akleidoscope,a,5
473,amybieganek,a,5
474,seasideshaman,a,5
475,thequietone,a,5
476,lovingkindnessyoga,a,5
477,aadityashastri,a,5
478,alisonhutchens,a,5
479,angelaquinn.yoga,a,5
480,aykanna,a,5
481,auntyamanda,a,5
482,rvaheartfulness,a,5
