,teacher_id,alpha_index
287,amandahayes,a
288,ashleychymiy,a
289,anishanirvani,a
290,abbywynne,a
291,andresph,a
292,activepause,a
293,art,a
294,alspacas,a
295,annabellezinser,a
296,achtsamkeitmitanna,a
297,acorn.content,a
298,anesumbizvo,a
299,amymoroz,a
300,mindfulnessmeetingplace,a
301,annevetter,a
302,andrewdaniel,a
303,andrianacrawford,a
304,adrienneione,a
305,amandadicristina,a
306,breathecalmuk,a
307,annasofia,a
308,andreaashley,a
309,amitaschmidt,a
310,aldigo,a
311,alexandraarbogast,a
312,annahataliving,a
313,angelique_meditation,a
314,frommindtoheart,a
315,alanaearthangel,a
316,alleycatreiki,a
317,amykerr,a
318,lovelightschool,a
319,pub195086,a
320,authenticparenting,a
321,alextripod,a
322,alicianidra,a
323,allybogard,a
324,anneadametz,a
325,andreakrejciparadis,a
326,aliciacramer,a
327,anniewood,a
328,aleksandar,a
329,anne1166,a
330,nourishedteachers,a
331,andunlop,a
332,adricardoso,a
333,aimeecoenen,a
334,annette,a
335,ourevolvingminds,a
336,littleshopmeditations,a
337,aleia,a
338,alyana,a
339,adyanova,a
340,anastasiavishnevsky,a
341,siren_dragon,a
342,rootedrenewalwellness,a
343,ayedahusain,a
344,amandalee,a
345,adammizner,a
346,annika,a
347,alyssanobriga,a
348,safe_circle_meditation,a
349,anikapatel,a
350,bodyblisslife,a
351,annaguestjelley,a
352,annahughes,a
353,alejandraespinosap,a
354,yogalexia,a
355,awalk,a
356,pub14893267,a
357,anasofibavoni,a
358,addie_dehilster,a
359,ayeshasamji,a
360,annika.cronauer,a
361,drea,a
362,anjastieber,a
363,ashwalter,a
364,anders,a
365,anjaweise,a
366,aesha108,a
367,assaff,a
368,angelagruenewald,a
369,eclecticcleric,a
370,happyoolamama,a
371,andreasahslund,a
372,anuja,a
373,annette.dubreuil,a
374,annette.activator,a
375,alexisshahin,a
376,amandavanset,a
377,azrielferro,a
378,andybrine,a
379,feelosophy,a
380,alanbutterworth,a
381,annamiranda,a
382,amyj,a
383,aleminni,a
384,annagutkina,a
385,alannasaraswati,a
386,bitewellnessconsulting,a
387,auroramoone,a
388,treibgutyoga,a
389,psic_angie,a
390,antonbelo,a
391,ateeka,a
392,aliciayoungyoga,a
393,amysinclair97,a
394,awarenessexplorers,a
395,akivayaakov,a
396,abigailwilber,a
397,ameeta,a
398,auroradeblas,a
399,alexbeckmann,a
400,astridvanwesenbeeck,a
401,avivajoffe,a
402,andrea88,a
403,tranquilitywizard,a
404,alisonwegner,a
405,anaoteromagdala,a
406,analebasi,a
407,alessandralasas,a
408,anna,a
409,anitaboes,a
410,annvanroy,a
411,drsounds,a
412,annasimonetta,a
413,sylvanocity,a
414,yogaranger,a
415,aamaro,a
416,andreambrosio,a
417,anastasia_bellone,a
418,aannshajones,a
419,audrabear,a
420,bluepurpose,a
421,amelialina,a
422,alexandraraeyoga,a
423,aliciaparamo,a
424,dhammagift,a
425,ashleymiluswellnesscoach,a
426,meditation_alex,a
427,amandahouston,a
428,altalourette,a
429,ana.marquessilva,a
430,anniemhenderson,a
431,amberjane______,a
432,arose,a
433,anantkarkaur,a
434,allisonrietta,a
435,alankaishincrawford,a
436,alamkhan,a
437,ashgro,a
438,asterhaile,a
