,teacher_id,med_list_batch_id
286,amandamossing,3
287,amandahayes,3
288,ashleychymiy,3
289,anishanirvani,3
290,abbywynne,3
291,andresph,3
292,activepause,3
293,art,3
294,alspacas,3
295,annabellezinser,3
296,achtsamkeitmitanna,3
297,acorn.content,3
298,anesumbizvo,3
299,amymoroz,3
300,mindfulnessmeetingplace,4
301,annevetter,4
302,andrewdaniel,4
303,andrianacrawford,4
304,adrienneione,4
305,amandadicristina,4
306,breathecalmuk,4
307,annasofia,4
308,andreaashley,4
309,amitaschmidt,4
310,aldigo,4
311,alexandraarbogast,4
312,annahataliving,4
313,angelique_meditation,4
314,frommindtoheart,4
315,alanaearthangel,4
316,alleycatreiki,4
317,amykerr,4
318,lovelightschool,4
319,pub195086,4
320,authenticparenting,4
321,alextripod,4
322,alicianidra,4
323,allybogard,4
324,anneadametz,4
325,andreakrejciparadis,4
326,aliciacramer,4
327,anniewood,4
328,aleksandar,4
329,anne1166,4
330,nourishedteachers,4
331,andunlop,4
332,adricardoso,4
333,aimeecoenen,4
334,annette,4
335,ourevolvingminds,4
336,littleshopmeditations,4
337,aleia,4
338,alyana,4
339,adyanova,4
340,anastasiavishnevsky,4
341,siren_dragon,4
342,rootedrenewalwellness,4
343,ayedahusain,4
344,amandalee,4
345,adammizner,4
346,annika,4
347,alyssanobriga,4
348,safe_circle_meditation,4
349,anikapatel,4
350,bodyblisslife,4
351,annaguestjelley,4
352,annahughes,4
353,alejandraespinosap,4
354,yogalexia,4
355,awalk,4
356,pub14893267,4
357,anasofibavoni,4
358,addie_dehilster,4
359,ayeshasamji,4
360,annika.cronauer,4
361,drea,4
362,anjastieber,4
363,ashwalter,4
364,anders,4
365,anjaweise,4
366,aesha108,4
367,assaff,4
368,angelagruenewald,4
369,eclecticcleric,4
370,happyoolamama,4
371,andreasahslund,4
372,anuja,4
373,annette.dubreuil,4
374,annette.activator,4
375,alexisshahin,4
376,amandavanset,4
377,azrielferro,4
378,andybrine,4
379,feelosophy,4
380,alanbutterworth,4
381,annamiranda,4
382,amyj,4
383,aleminni,4
384,annagutkina,4
385,alannasaraswati,4
386,bitewellnessconsulting,4
387,auroramoone,4
388,treibgutyoga,4
389,psic_angie,4
390,antonbelo,4
391,ateeka,4
392,aliciayoungyoga,4
393,amysinclair97,4
394,awarenessexplorers,4
395,akivayaakov,4
396,abigailwilber,4
397,ameeta,4
398,auroradeblas,4
399,alexbeckmann,4
400,astridvanwesenbeeck,5
401,avivajoffe,5
402,andrea88,5
403,tranquilitywizard,5
404,alisonwegner,5
405,anaoteromagdala,5
406,analebasi,5
407,alessandralasas,5
408,anna,5
409,anitaboes,5
410,annvanroy,5
411,drsounds,5
412,annasimonetta,5
413,sylvanocity,5
414,yogaranger,5
415,aamaro,5
416,andreambrosio,5
417,anastasia_bellone,5
418,aannshajones,5
419,audrabear,5
420,bluepurpose,5
421,amelialina,5
422,alexandraraeyoga,5
423,aliciaparamo,5
424,dhammagift,5
425,ashleymiluswellnesscoach,5
426,meditation_alex,5
427,amandahouston,5
428,altalourette,5
429,ana.marquessilva,5
430,anniemhenderson,5
431,amberjane______,5
432,arose,5
433,anantkarkaur,5
434,allisonrietta,5
435,alankaishincrawford,5
436,alamkhan,5
437,ashgro,5
438,asterhaile,5
439,amandaschultz,5
440,astralcommunionok,5
441,loveandlight,5
442,andreacarrani,5
443,anastasia_m,5
444,alexandraalmond,5
445,lovedreamlive,5
446,shineon,5
447,allisonterrell,5
448,pausewithalexis,5
449,angelamiele,5
450,parenthesepositive,5
451,alextreglazoffdober,5
452,drabbeyleighayd,5
453,alicemendonca,5
454,shivshakti,5
455,amyrutledge443,5
456,adrianasanchez,5
457,agapijoy,5
458,alelmt,5
459,chouettemeditation,5
460,antoniocuenca,5
461,anahitaholdenphd,5
462,compazzi_annemarie,5
463,awolfe,5
464,alicelapeta333,5
465,musicasmedicine,5
466,aliciameek,5
467,renascencemusic,5
468,mbsr-aw,5
469,aiko108,5
470,benditodharma,5
471,annelyse,5
472,akleidoscope,5
473,amybieganek,5
474,seasideshaman,5
475,thequietone,5
476,lovingkindnessyoga,5
477,aadityashastri,5
478,alisonhutchens,5
479,angelaquinn.yoga,5
480,aykanna,5
481,auntyamanda,5
482,rvaheartfulness,5
483,pereadam,5
484,nisabho_bhikkhu,5
485,theheartpractice,5
486,anacaner,5
487,antje_firla,5
488,praktijkpaz,5
489,the-yoga-goat,5
490,embodiedcreatures,5
491,annikuusik,5
492,alokmitus,5
493,annettebroy,5
494,ashasukha,5
495,agarzilla,5
496,athenaburke,5
497,andrvoloshenko,5
498,adikaur,5
499,aleyadao,5
500,aurapriscel,6
501,transforma,6
502,agajcieslak,6
503,aislingquigley,6
504,ankedesign,6
505,kutuzov_psy,6
506,littoralbeing,6
507,adriennet,6
508,amycuddy,6
509,yinyangann,6
510,amy,6
511,arttucoach,6
512,amandafield,6
513,amavalon,6
514,andreaskendzerski,6
515,aimee.yoga,6
516,amandineadnot,6
517,atmanali,6
518,andrawestlebauer,6
519,antoniojorgelarruy,6
520,yogi.moksha,6
521,theangelmystic,6
522,annalenastolt,6
523,anami,6
524,alannahlevian,6
525,anniejameson,6
526,alpajoshi,6
527,andressapeters,6
528,armindyoga,6
529,lovefromamy,6
530,auroralyra,6
531,annemarierossi,6
532,alexmcdonald,6
533,sparkle,6
534,annaaberg,6
535,anjathelen,6
536,delina,6
537,wakeupcallcoach,6
538,austinbauer,6
539,aliciamaher,6
540,aimeegranados,6
541,aurafitness,6
542,aritanascimentoo,6
543,fireinthebellyhealing,6
544,amberjanemccormick,6
545,angekatz,6
546,andersonalegro,6
547,dear_abigail_,6
548,annasunchoi,6
549,sunoflife,6
550,alexnguyen,6
551,amla,6
552,paul,6
553,amygallo,6
554,ariadnatapia,6
555,aerowenn,6
556,breathandinspiration,6
557,cahrf_,6
558,averylane,6
559,ambikadevi,6
560,aroshanti,6
561,peaceloveaudio,6
562,almabyanaya,6
563,thealeeshasimone,6
564,athilacampos,6
565,attealhainen,6
566,anthonymyr,6
567,andreakanefrank,6
568,anja.benesch,6
569,annriddell,6
570,atmagovinda,6
571,theinstituteforaliveness,6
572,allisonlrichard,6
573,grigat,6
574,moss.alicia.b,6
575,lovebeancacao,6
576,antoniovibes,6
577,alexiszahner,6
578,ayyasudinna,6
579,adamdince,6
580,namastarkids,6
581,pub6446761,6
582,axismundi,6
583,abigailk,6
584,ambientologist,6
585,angelagrillo,6
586,boje17,6
587,asamiyoga,6
588,annakaminski,6
589,alexmoller,6
590,ayumitankejpn,6
591,angelica_badillo_coach,6
592,ashneu,6
593,adironnda,6
594,aureliaserena,6
595,inbalance-healing,6
596,anjikat,6
597,yogatherapygeelong,6
598,amberlove,6
599,adriana.gog,6
600,springspsychotherapy,7
601,amandasophia,7
602,annpbaker,7
603,any,7
604,americameditating,7
605,anchaljyoti,7
606,athenawong,7
607,pub1168177,7
608,alexandrapils,7
609,ajayanborys,7
610,annieaitken,7
611,watersoundman,7
612,ahartman13,7
613,aldream,7
614,abd-ha,7
615,andreamorgenstern,7
616,artofloving,7
617,atouchofzenyoga,7
618,yogingi,7
619,adriannadreams,7
620,adrianada.cunha,7
621,alexanzalone,7
622,anaisskoutariotis,7
623,thefullyinspiredyogi,7
624,anishalamba,7
625,tonimindfull,7
626,devasena,7
627,soulsagemusic,7
628,audrey,7
629,alon,7
630,adriarne,7
631,aislingquigleyaustralia,7
632,ashleybeasley,7
633,aparikh,7
634,annikpaprika,7
635,alba,7
636,andrewneel,7
637,alimortimer,7
638,anjas,7
639,aewickham,7
640,anacalvo,7
641,artiewu,7
642,annalarsonmusic,7
643,cosmic__whale,7
644,ahnaom,7
645,alexmurrieta,7
646,amandarodd,7
647,alexschuerman,7
648,yoginianna,7
649,aleelink,7
650,abidavis,7
651,anna_anna1,7
652,krapenitskiy,7
653,artemisvandevi,7
654,avidaquantica,7
655,everlong_yoga,7
656,sagamoreyoga,7
657,annsophie,7
658,kreida,7
659,spiritual-sunrise,7
660,augustahopkins,7
661,holistichealth,7
662,ayni,7
663,goodvibrations_ht,7
664,abedah_chasulwa,7
665,73alexanders,7
666,abbygoodwinlove,7
667,annerie,7
668,aaronzachariah,7
669,angelhu,7
670,annmathie,7
671,typeayoga,7
672,annagagliuffi,7
673,arielle.ashford,7
674,skeptic_buddha,7
675,aetheiros,7
676,zodiacastros,7
677,amandamadhu,7
678,angiehilton,7
679,abeautifulglow,7
680,amagine,7
681,anoukdamen,7
682,amandamiranda,7
683,fittayoga,7
684,astellavanheijst,7
685,afirmacoesparaalma,7
686,bartoa0223,7
687,aliss,7
688,angiecorogin,7
689,ashleyfiorili,7
690,relaxwithadam,7
691,alineneelama,7
692,splinkyourlife,7
693,alisonbristow,7
694,lowellness,7
695,aprillovett,7
696,alissadbla,7
697,annastina,7
698,ang,7
699,andrea_claassen,7
700,therapeutic_serenity,8
701,anja_lenz,8
702,amyvcooper,8
703,adrianajade,8
704,ajpucci,8
705,anittajensen,8
706,anneofthewoods,8
707,ardaozdemir,8
708,aileyjolie,8
709,callumsenergymedicine,8
710,amyrogg,8
711,borycoach,8
712,annkristinsivertsen,8
713,afromeditacao,8
714,premamrito,8
715,adamchall,8
716,alinabaratech,8
717,flourishbydesign,8
718,sacredrising,8
719,anatu,8
720,alextodeschini,8
721,adamcarbary,8
722,arielrubens,8
723,pleasurewellness,8
724,aware-gemeinsambewusstsein,8
725,amahrajaxen,8
726,awyndham,8
727,academiadespierta,8
728,amcginty,8
729,molyckan,8
730,aklewis,8
731,nicholecalm,8
732,soulspeaks,8
733,alanacuri,8
734,alexandramietusch,8
735,breathatelier,8
736,anniemahon,8
737,pub16308258,8
738,alexnashton,8
739,antonpaz,8
740,angieibarra,8
741,andyfromcale,8
742,alisonmclean,8
743,aaralynshiri,8
744,anngrace,8
745,ameliahellyer,8
746,alexanderpappas,8
747,mindfulminutes,8
748,aylasybil,8
749,enclave3,8
750,anajardim,8
751,anandisano,8
752,axelkranz,8
753,adamyogistonebraker,8
754,adreannalimbach,8
755,anandakalika,8
756,alyssayoung.art,8
757,anaissaegesser,8
758,amymorrison,8
759,arezky,8
760,aaadesrochers,8
761,meditation4parkinson,8
762,adoseofari,8
763,almaconsciente,8
764,akrj,8
765,abby,8
766,alibetts,8
767,ameliechanda,8
768,ambervalentinewellness,8
769,tranquilhearts,8
770,anastasiiaseverina,8
771,peacebthejourney,8
772,durgadevi,8
773,amandabaiocco,8
774,annaravenscroft,8
775,iam_music,8
776,ana.pupato,8
777,anisha_grace,8
778,leaf-lessons,8
779,pub4052295,8
780,pub3089300,8
781,alonsotrb,8
782,dragonwithin,8
783,asiltoksal,8
784,abbyilardi,8
785,amylaurenyogatherapy,8
786,andre.etc,8
787,malibumeditationsjourney,8
788,angelbalhana,8
789,chaosandlight,8
790,aura2020,8
791,agustinroselli,8
792,artblevins,8
793,craftngthespirit,8
794,ashleywinkelspecht,8
795,adampotts,8
796,anacoe,8
797,audcha,8
798,renaissance-cec,8
799,andreasoto,8
800,theintimacyguide,9
801,alextacket,9
802,alisasimonenko,9
803,ank-hara,9
804,carolpcost00001,9
805,anuttara,9
806,agusavila,9
807,ancientbliss,9
808,anzahata,9
809,laly,9
810,asha-akashicrecords,9
811,astralwell,9
812,amandaewell,9
813,alanverbeke,9
814,hartspace,9
815,reduce_yoga,9
816,annasimone,9
